Flyer URLs,Shop IDs
https://www.conad.it/assets/common/volantini/cad/v-2504/_2504PF_Pieghevole.pdf?_u=a7dd42c46297731ac239d570235eec82e33bb99e,"['67cf0cc674b04f610c63c22a', '67cf0cc774b04f610c63c230', '67cf0cf074b04f610c63c383', '67cf0d5f74b04f610c63c728', '67cf0d6a74b04f610c63c782', '67cf0d9874b04f610c63c8f5', '67cf0d9c74b04f610c63c915', '67cf0dfa74b04f610c63cc1b', '67cf0ed274b04f610c63d31e', '67cf0f1674b04f610c63d511', '67cf0f1a74b04f610c63d52a', '67cf0f5974b04f610c63d735', '67cf0fe774b04f610c63db5d', '67cf101074b04f610c63dca3', '67cf102674b04f610c63dd49', '67cf105e74b04f610c63df14']"
https://www.conad.it/assets/common/volantini/cad/v-2505/_25050_CONAD_AFFISSIONE.pdf?_u=1c3fdeb23c269410dc7335c868cf3070f12cd1d8,"['67cf0bc374b04f610c63b9d1', '67cf0bc474b04f610c63b9d6', '67cf0bc574b04f610c63b9e5', '67cf0bc774b04f610c63b9f9', '67cf0bc974b04f610c63ba03', '67cf0bc974b04f610c63ba08', '67cf0bca74b04f610c63ba0d', '67cf0bcf74b04f610c63ba31', '67cf0bd074b04f610c63ba36', '67cf0bd074b04f610c63ba3b', '67cf0c0174b04f610c63bbb9', '67cf0c0274b04f610c63bbbe', '67cf0c0274b04f610c63bbc3', '67cf0c8b74b04f610c63c062', '67cf0cb274b04f610c63c18c', '67cf0cc474b04f610c63c21b', '67cf0cc774b04f610c63c230', '67cf0cc974b04f610c63c249', '67cf0ce174b04f610c63c30a', '67cf0cef74b04f610c63c37e', '67cf0cf174b04f610c63c388', '67cf0cf174b04f610c63c38d', '67cf0d1c74b04f610c63c4f6', '67cf0d1d74b04f610c63c4fb', '67cf0d5f74b04f610c63c723', '67cf0d5f74b04f610c63c728', '67cf0d6074b04f610c63c72d', '67cf0d6074b04f610c63c732', '67cf0d6174b04f610c63c737', '67cf0d6174b04f610c63c73c', '67cf0d6274b04f610c63c741', '67cf0d6374b04f610c63c746', '67cf0d6474b04f610c63c74b', '67cf0d6574b04f610c63c755', '67cf0d6774b04f610c63c75f', '67cf0d6774b04f610c63c764', '67cf0d6874b04f610c63c769', '67cf0d6874b04f610c63c76e', '67cf0d6974b04f610c63c773', '67cf0d6b74b04f610c63c787', '67cf0d6f74b04f610c63c7a0', '67cf0d6f74b04f610c63c7a5', '67cf0d9174b04f610c63c8c5', '67cf0d9274b04f610c63c8cf', '67cf0d9374b04f610c63c8d4', '67cf0d9474b04f610c63c8db', '67cf0d9474b04f610c63c8e0', '67cf0d9574b04f610c63c8e5', '67cf0d9674b04f610c63c8ea', '67cf0d9674b04f610c63c8ef', '67cf0d9874b04f610c63c8f5', '67cf0d9974b04f610c63c8ff', '67cf0d9974b04f610c63c904', '67cf0d9a74b04f610c63c909', '67cf0d9b74b04f610c63c910', '67cf0d9c74b04f610c63c915', '67cf0d9d74b04f610c63c920', '67cf0d9e74b04f610c63c925', '67cf0d9e74b04f610c63c92a', '67cf0d9f74b04f610c63c92f', '67cf0db274b04f610c63c9d1', '67cf0db274b04f610c63c9d6', '67cf0db474b04f610c63c9e5', '67cf0db674b04f610c63c9f1', '67cf0de274b04f610c63cb56', '67cf0de874b04f610c63cb89', '67cf0de974b04f610c63cb93', '67cf0dfb74b04f610c63cc22', '67cf0e2074b04f610c63cd3a', '67cf0e3874b04f610c63cdf4', '67cf0e9f74b04f610c63d150', '67cf0e9f74b04f610c63d155', '67cf0ea074b04f610c63d15a', '67cf0ec174b04f610c63d299', '67cf0ec274b04f610c63d29e', '67cf0edd74b04f610c63d372', '67cf0ede74b04f610c63d377', '67cf0ede74b04f610c63d37c', '67cf0f0074b04f610c63d47a', '67cf0f0274b04f610c63d489', '67cf0f0474b04f610c63d493', '67cf0f0574b04f610c63d498', '67cf0f1574b04f610c63d507', '67cf0f1574b04f610c63d50c', '67cf0f1774b04f610c63d516', '67cf0f1874b04f610c63d51b', '67cf0f1974b04f610c63d525', '67cf0f1a74b04f610c63d52a', '67cf0f3074b04f610c63d5e0', '67cf0f3c74b04f610c63d645', '67cf0f5874b04f610c63d72b', '67cf0f5874b04f610c63d730', '67cf0f5d74b04f610c63d74e', '67cf0f5e74b04f610c63d753', '67cf0f5f74b04f610c63d758', '67cf0f7f74b04f610c63d82d', '67cf0f8074b04f610c63d838', '67cf0f8174b04f610c63d83d', '67cf0f8174b04f610c63d842', '67cf0f8274b04f610c63d847', '67cf0f8374b04f610c63d84c', '67cf0f8374b04f610c63d851', '67cf0fa874b04f610c63d987', '67cf0fa874b04f610c63d98c', '67cf0fe274b04f610c63db2b', '67cf0fe374b04f610c63db35', '67cf0fe374b04f610c63db3a', '67cf0fe874b04f610c63db63', '67cf0fe974b04f610c63db6d', '67cf0fec74b04f610c63db81', '67cf0fee74b04f610c63db90', '67cf0ff674b04f610c63dbcd', '67cf0ff674b04f610c63dbd2', '67cf0ff774b04f610c63dbd7', '67cf0ffe74b04f610c63dc0c', '67cf100874b04f610c63dc5d', '67cf100c74b04f610c63dc80', '67cf100d74b04f610c63dc85', '67cf100f74b04f610c63dc94', '67cf100f74b04f610c63dc9e', '67cf101074b04f610c63dca3', '67cf101174b04f610c63dca9', '67cf101274b04f610c63dcae', '67cf101c74b04f610c63dd08', '67cf102674b04f610c63dd4e', '67cf102874b04f610c63dd58', '67cf104074b04f610c63de08', '67cf104074b04f610c63de0d', '67cf105e74b04f610c63df19', '67cf105f74b04f610c63df1e', '67cf106074b04f610c63df29', '67cf106374b04f610c63df42', '67cf106374b04f610c63df47', '67cf108674b04f610c63e060', '67cf108774b04f610c63e074', '67cf109874b04f610c63e0f2', '67cf10a574b04f610c63e15c', '67cf10a574b04f610c63e161', '67cf10f474b04f610c63e3df', '67cf113074b04f610c63e561']"
https://www.conad.it/assets/common/volantini/cad/v20252/202525008IPERANCONA.pdf?_u=96c64483a38b8b61e3eb32fb9366bddcea674a06,"['67cf0dfa74b04f610c63cc1b', '67cf0f5974b04f610c63d735']"
https://www.conad.it/assets/common/volantini/cad/v20252/202525008IPERSPAZIO%20NORD.pdf?_u=96c64483a38b8b61e3eb32fb9366bddcea674a06,"['67cf0cc674b04f610c63c22a', '67cf0cf074b04f610c63c383', '67cf0d6a74b04f610c63c782', '67cf0f1674b04f610c63d511', '67cf0fe774b04f610c63db5d', '67cf101574b04f610c63dcc7', '67cf105e74b04f610c63df14', '67cf113174b04f610c63e566']"
https://www.conad.it/assets/common/volantini/cad/v20252/202525008IPERSPAZIO%20SUD.pdf?_u=96c64483a38b8b61e3eb32fb9366bddcea674a06,"['67cf0ed274b04f610c63d31e', '67cf102674b04f610c63dd49']"
https://www.conad.it/assets/common/volantini/cad/v20252/202525008SUPERNORD-C.pdf?_u=96c64483a38b8b61e3eb32fb9366bddcea674a06,"['67cf0c0174b04f610c63bbb9', '67cf0c0274b04f610c63bbbe', '67cf0c0274b04f610c63bbc3', '67cf0c8b74b04f610c63c062', '67cf0cb274b04f610c63c18c', '67cf0cc474b04f610c63c21b', '67cf0cc774b04f610c63c230', '67cf0cc974b04f610c63c249', '67cf0ce174b04f610c63c30a', '67cf0cef74b04f610c63c37e', '67cf0cf174b04f610c63c388', '67cf0cf174b04f610c63c38d', '67cf0d5f74b04f610c63c723', '67cf0d6074b04f610c63c72d', '67cf0d6074b04f610c63c732', '67cf0d6174b04f610c63c737', '67cf0d6174b04f610c63c73c', '67cf0d6b74b04f610c63c787', '67cf0d6f74b04f610c63c7a0', '67cf0d6f74b04f610c63c7a5', '67cf0d9174b04f610c63c8c5', '67cf0d9274b04f610c63c8cf', '67cf0d9374b04f610c63c8d4', '67cf0d9474b04f610c63c8db', '67cf0d9474b04f610c63c8e0', '67cf0d9574b04f610c63c8e5', '67cf0d9674b04f610c63c8ea', '67cf0d9674b04f610c63c8ef', '67cf0d9974b04f610c63c8ff', '67cf0d9974b04f610c63c904', '67cf0d9a74b04f610c63c909', '67cf0d9b74b04f610c63c910', '67cf0d9d74b04f610c63c920', '67cf0d9e74b04f610c63c925', '67cf0d9e74b04f610c63c92a', '67cf0d9f74b04f610c63c92f', '67cf0db274b04f610c63c9d1', '67cf0db274b04f610c63c9d6', '67cf0db474b04f610c63c9e5', '67cf0db674b04f610c63c9f1', '67cf0de274b04f610c63cb56', '67cf0dfb74b04f610c63cc22', '67cf0e3874b04f610c63cdf4', '67cf0edd74b04f610c63d372', '67cf0ede74b04f610c63d377', '67cf0ede74b04f610c63d37c', '67cf0f1574b04f610c63d507', '67cf0f1574b04f610c63d50c', '67cf0f1774b04f610c63d516', '67cf0f1874b04f610c63d51b', '67cf0f1974b04f610c63d525', '67cf0f3074b04f610c63d5e0', '67cf0f3c74b04f610c63d645', '67cf0f5d74b04f610c63d74e', '67cf0f5e74b04f610c63d753', '67cf0f5f74b04f610c63d758', '67cf0f7f74b04f610c63d82d', '67cf0f8074b04f610c63d838', '67cf0f8174b04f610c63d83d', '67cf0f8174b04f610c63d842', '67cf0f8274b04f610c63d847', '67cf0f8374b04f610c63d84c', '67cf0f8374b04f610c63d851', '67cf0fa874b04f610c63d987', '67cf0fa874b04f610c63d98c', '67cf0fe274b04f610c63db2b', '67cf0fe374b04f610c63db35', '67cf0fe374b04f610c63db3a', '67cf0fe874b04f610c63db63', '67cf0ffe74b04f610c63dc0c', '67cf100874b04f610c63dc5d', '67cf101c74b04f610c63dd08', '67cf104074b04f610c63de08', '67cf104074b04f610c63de0d', '67cf105e74b04f610c63df19', '67cf105f74b04f610c63df1e', '67cf106074b04f610c63df29', '67cf108674b04f610c63e060', '67cf113074b04f610c63e561']"
https://www.conad.it/assets/common/volantini/cad/v20252/202525008SUPERSTORESST%20NORD.pdf?_u=96c64483a38b8b61e3eb32fb9366bddcea674a06,"['67cf0d5f74b04f610c63c728', '67cf0d9874b04f610c63c8f5', '67cf0d9c74b04f610c63c915', '67cf0f1a74b04f610c63d52a']"
https://www.conad.it/assets/common/volantini/cad/v20252/202525008SUPERSTORESST%20SUD.pdf?_u=96c64483a38b8b61e3eb32fb9366bddcea674a06,"['67cf0bd074b04f610c63ba3b', '67cf0d6874b04f610c63c76e', '67cf101074b04f610c63dca3']"
https://www.conad.it/assets/common/volantini/cad/v20252/202525008SUPERSUD-C.pdf?_u=96c64483a38b8b61e3eb32fb9366bddcea674a06,"['67cf0bc374b04f610c63b9d1', '67cf0bc474b04f610c63b9d6', '67cf0bc574b04f610c63b9e5', '67cf0bc774b04f610c63b9f9', '67cf0bc974b04f610c63ba03', '67cf0bc974b04f610c63ba08', '67cf0bca74b04f610c63ba0d', '67cf0bcf74b04f610c63ba31', '67cf0bd074b04f610c63ba36', '67cf0d1c74b04f610c63c4f6', '67cf0d1d74b04f610c63c4fb', '67cf0d6274b04f610c63c741', '67cf0d6374b04f610c63c746', '67cf0d6474b04f610c63c74b', '67cf0d6574b04f610c63c755', '67cf0d6774b04f610c63c75f', '67cf0d6774b04f610c63c764', '67cf0d6874b04f610c63c769', '67cf0d6974b04f610c63c773', '67cf0de874b04f610c63cb89', '67cf0de974b04f610c63cb93', '67cf0e2074b04f610c63cd3a', '67cf0e9f74b04f610c63d150', '67cf0e9f74b04f610c63d155', '67cf0ea074b04f610c63d15a', '67cf0ec174b04f610c63d299', '67cf0ec274b04f610c63d29e', '67cf0f0074b04f610c63d47a', '67cf0f0274b04f610c63d489', '67cf0f0474b04f610c63d493', '67cf0f0574b04f610c63d498', '67cf0f5874b04f610c63d72b', '67cf0f5874b04f610c63d730', '67cf0fe974b04f610c63db6d', '67cf0fec74b04f610c63db81', '67cf0fee74b04f610c63db90', '67cf0ff674b04f610c63dbcd', '67cf0ff674b04f610c63dbd2', '67cf0ff774b04f610c63dbd7', '67cf100c74b04f610c63dc80', '67cf100d74b04f610c63dc85', '67cf100f74b04f610c63dc94', '67cf100f74b04f610c63dc9e', '67cf101174b04f610c63dca9', '67cf101274b04f610c63dcae', '67cf102674b04f610c63dd4e', '67cf102874b04f610c63dd58', '67cf106374b04f610c63df42', '67cf106374b04f610c63df47', '67cf108774b04f610c63e074', '67cf109874b04f610c63e0f2', '67cf10a574b04f610c63e15c', '67cf10a574b04f610c63e161', '67cf10f474b04f610c63e3df']"
https://www.conad.it/assets/common/volantini/cad/v20252/202525037CITYNORD-Y.pdf?_u=9b78e5e0959d7ddbe8ba28280f84d05eccac0ce4,"['67cf0c8a74b04f610c63c058', '67cf0cc574b04f610c63c220', '67cf0cc674b04f610c63c225', '67cf0cc774b04f610c63c235', '67cf0cc874b04f610c63c23a', '67cf0cc874b04f610c63c23f', '67cf0cc974b04f610c63c244', '67cf0cca74b04f610c63c24e', '67cf0d0a74b04f610c63c44b', '67cf0d6a74b04f610c63c77d', '67cf0d6c74b04f610c63c78c', '67cf0d6c74b04f610c63c791', '67cf0d6e74b04f610c63c79b', '67cf0d9274b04f610c63c8ca', '67cf0d9d74b04f610c63c91b', '67cf0db174b04f610c63c9cc', '67cf0db374b04f610c63c9db', '67cf0db374b04f610c63c9e0', '67cf0db574b04f610c63c9eb', '67cf0de374b04f610c63cb5b', '67cf0e3974b04f610c63cdf9', '67cf0eb074b04f610c63d1e7', '67cf0ec774b04f610c63d2c6', '67cf0f1874b04f610c63d520', '67cf0f3074b04f610c63d5e5', '67cf0f6d74b04f610c63d7ab', '67cf0f6f74b04f610c63d7b0', '67cf0f8074b04f610c63d833', '67cf0fe274b04f610c63db30', '67cf0fe474b04f610c63db3f', '67cf0fe974b04f610c63db68', '67cf100874b04f610c63dc62', '67cf101c74b04f610c63dd03', '67cf104174b04f610c63de12', '67cf104274b04f610c63de26', '67cf104374b04f610c63de2b', '67cf106074b04f610c63df24', '67cf10e274b04f610c63e35c', '67cf110074b04f610c63e449']"
