Store Link,Address,Formatted Address,Place ID,Street Number,Route,City (Locality),Administrative Area Level 3,Administrative Area Level 2,Administrative Area Level 1,Country,Country Code,Postal Code,Latitude,Longitude,Shop ID
https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-pisa.isa.html,"PISA - VIA CISANELLO, 56124 PISA (PI)","Pubblica Assistenza S.R. Pisa, 2, Via Italo Bargagna, Cisanello, Pisa, Toscana, 56124, Italia",74535376,2,Via Italo Bargagna,Pisa,Cisanello,Pisa,Toscana,Italia,it,56124,43.7101311,10.429202697367826,67da5c4fb8a76e4904bc2527
https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-verbania.vep.html,"VIALE AZARI, 94, 28922 VERBANIA (VB)","Esselunga di Verbania, 94, Viale Giuseppe Azari, Pallanza, Verbania, Verbano-Cusio-Ossola, Piemonte, 28922, Italia",68854761,94,Viale Giuseppe Azari,Verbania,Pallanza,Verbano-Cusio-Ossola,Piemonte,Italia,it,28922,45.92972295,8.554904492678624,67da5c50b8a76e4904bc252c
https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-via-lorenteggio-milano.lor.html,"VIA LORENTEGGIO, 219, 20147 MILANO (MI)","219, Via Lorenteggio, Giambellino, Municipio 6, Milano, Lombardia, 20147, Italia",68107089,219,Via Lorenteggio,Milano,Municipio 6,Milano,Lombardia,Italia,it,20147,45.4453378,9.1233771,67da5c51b8a76e4904bc2533
https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-viale-cassala-milano.css.html,"VIALE CASSALA, 22, 20143 MILANO (MI)","Arcaplanet, 22, Viale Cassala, Navigli, Municipio 6, Milano, Lombardia, 20143, Italia",68711439,22,Viale Cassala,Milano,Municipio 6,Milano,Lombardia,Italia,it,20143,45.4443222,9.1635076,67da5c51b8a76e4904bc2538
https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-viale-famagosta-milano.fam.html,"VIALE FAMAGOSTA, 56, 20142 MILANO (MI)","52,54,56, Viale Famagosta, Barona, Municipio 6, Milano, Lombardia, 20142, Italia",68729055,"52,54,56",Viale Famagosta,Milano,Barona,Milano,Lombardia,Italia,it,20142,45.4376239,9.1623516,67da5c52b8a76e4904bc253d
https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-via-novara-milano.sir.html,"VIA NOVARA, 86, 20153 MILANO (MI)","86, Via Novara, San Siro, Municipio 7, Milano, Lombardia, 20148, Italia",68353578,86,Via Novara,Milano,San Siro,Milano,Lombardia,Italia,it,20148,45.4721606,9.1205969,67da5c52b8a76e4904bc2542
https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-via-morgantini-milano.mor.html,"VIA MORGANTINI, 15, 20148 MILANO (MI)","Via Mario Morgantini, Selinunte, Municipio 7, Milano, Lombardia, 20148, Italia",68624851,,Via Mario Morgantini,Milano,Municipio 7,Milano,Lombardia,Italia,it,20148,45.47127515,9.13614135,67da5c53b8a76e4904bc2547
https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-via-solari-milano.soa.html,"VIA SOLARI, 29, 20144 MILANO (MI)","Esselunga, 29, Via Andrea Solari, Tortona, Municipio 6, Milano, Lombardia, 20144, Italia",69043977,29,Via Andrea Solari,Milano,Municipio 6,Milano,Lombardia,Italia,it,20144,45.454458,9.161772421919183,67da5c53b8a76e4904bc254c
https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-viale-papiniano-milano.pap.html,"VIALE PAPINIANO, 27, 20123 MILANO (MI)","27, Viale Papiniano, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia",68976912,27,Viale Papiniano,Milano,Municipio 1,Milano,Lombardia,Italia,it,20123,45.4596621,9.1677481,67da5c54b8a76e4904bc2551
https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-viale-vigliani-milano.vig.html,"VIALE VIGLIANI, 59, 20148 MILANO (MI)","Esselunga, 59, Viale Paolo Onorato Vigliani, De Angeli - Monte Rosa, Tre Torri, Municipio 8 di Milano, Milano, Lombardia, 20148, Italia",68504229,59,Viale Paolo Onorato Vigliani,Milano,Tre Torri,Milano,Lombardia,Italia,it,20148,45.48024375,9.145486300360318,67da5c54b8a76e4904bc2556
